C/1991 X2   2B   0.199   95.6  +0.000057  -0.000879  -0.000570
C/1991 Y1   1B   0.644   50.0  -0.000094  -0.000090  +0.001114
C/1992 A1   2A   3.017   39.3  +0.000097  -0.001375  -0.000025
C/1992 F1   1B   1.261   79.3  +0.003422  +0.003198  +0.003389
C/1992 J1   1A   3.007  124.3  +0.000028  +0.000013  +0.000547
C/1992 Q2   1A   2.038  106.8  +0.017279  +0.016991  +0.016946
C/1992 U1   1A   2.314   66.0  +0.000423  +0.000255  +0.000522
C/1992 W1   2B   0.664  115.1  +0.012530  +0.012465  +0.012879
C/1993 F1   1A   5.900   53.9  +0.000059  -0.000978  -0.000360
C/1993 K1   1A   4.849   67.8  +0.000033  -0.000045  +0.000598
C/1993 Q1   1A   0.967  105.0  +0.000003  -0.000287  -0.000066
C/1994 E1   2B   1.751  145.1  +0.018492  +0.018175  +0.018310
C/1994 E2   1B   1.159  131.3  +0.002681  +0.002318  +0.003086
C/1994 G1-A 1A   1.359  132.9  +0.000915  +0.000645  +0.000779
C/1994 J2   1B   1.948  136.0  +0.002129  +0.001833  +0.002276
C/1994 N1   2A   1.140   94.4  +0.001324  -0.000050  +0.000365
C/1994 T1   1B   1.845  101.7  +0.000663  +0.000262  +0.000618
C/1995 Q1   1B   0.436  147.4  +0.004458  +0.004533  +0.005238
C/1996 B1   1B   1.449   51.9  +0.006218  +0.006399  +0.006900
C/1996 E1   1A   1.359  114.5  -0.000042  -0.000654  +0.000356
C/1996 J1-A 1A   1.298   22.5  -0.000511  -0.001211  +0.000059
C/1996 J1-B 1A   1.298   22.5  -0.000001  -0.000700  +0.000569
C/1996 N1   1B   0.926   52.1  -0.000161  -0.000621  +0.000526
C/1996 P2   1A   2.006   29.1  +0.001062  -0.000182  +0.000958
C/1996 Q1   2B   0.840   73.4  +0.001826  +0.001309  +0.001266
C/1996 R1   2A   1.899  145.8  +0.008089  +0.007520  +0.007650
C/1997 A1   1A   3.157  145.1  +0.000021  -0.000651  -0.000229
C/1997 BA6  1A   3.436   72.7  +0.000029  +0.000334  +0.000401
C/1997 D1   1A   2.248  141.9  +0.000310  -0.000493  -0.000191
C/1997 G2   1A   3.085   69.8  +0.002514  +0.001870  +0.002671
C/1997 J1   1A   2.302  123.0  +0.001823  +0.003956  +0.004661
C/1997 J2   1A   3.051   91.3  +0.000040  -0.000200  +0.000000
C/1997 L1   1A   4.899   73.0  +0.000573  +0.000376  +0.000906
C/1997 O1   1B   1.372  115.8  +0.011437  +0.011504  +0.012187
C/1997 P2   2A   4.263   14.6  -0.000032  -0.006663  -0.002352
C/1997 T1   1A   1.359  128.0  +0.001160  +0.001085  +0.001313
C/1998 H1   2B   1.487  104.7  +0.001494  +0.001403  +0.002250
C/1998 K1   1B   3.417   35.6  +0.015812  +0.016055  +0.015945
